A:01 X:00 Y:02 S:FD P:nvUbdIzc   $D578: 60        RTS (from $D55B) ----------------------------
A:01 X:00 Y:02 S:FF P:nvUbdIzc $F4A7: AD 02 20  LDA $2002 = #$12
A:12 X:00 Y:02 S:FF P:nvUbdIzc $F4AA: 20 65 CA  JSR $CA65
A:12 X:00 Y:02 S:FD P:nvUbdIzc   $CA65: A2 00     LDX #$00
A:12 X:00 Y:02 S:FD P:nvUbdIZc   $CA67: 86 50     STX $50 = #$00
A:12 X:00 Y:02 S:FD P:nvUbdIZc   $CA69: A9 08     LDA #$08
A:08 X:00 Y:02 S:FD P:nvUbdIzc   $CA6B: 48        PHA
A:08 X:00 Y:02 S:FC P:nvUbdIzc    $CA6C: A6 50     LDX $50 = #$00
A:08 X:00 Y:02 S:FC P:nvUbdIZc    $CA6E: BD 80 06  LDA $0680,X @ $0680 = #$FF
A:FF X:00 Y:02 S:FC P:NvUbdIzc    $CA71: F0 03     BEQ $CA76
A:FF X:00 Y:02 S:FC P:NvUbdIzc    $CA73: 20 84 CA  JSR $CA84
A:FF X:00 Y:02 S:FA P:NvUbdIzc      $CA84: BD 81 06  LDA $0681,X @ $0681 = #$00
A:00 X:00 Y:02 S:FA P:nvUbdIZc      $CA87: 20 EB C0  JSR $C0EB
A:00 X:00 Y:02 S:F8 P:nvUbdIZc        $C0EB: 0A        ASL
A:00 X:00 Y:02 S:F8 P:nvUbdIZc        $C0EC: A8        TAY
A:00 X:00 Y:00 S:F8 P:nvUbdIZc        $C0ED: 68        PLA
A:89 X:00 Y:00 S:F9 P:NvUbdIzc       $C0EE: 85 3A     STA $3A = #$7B
A:89 X:00 Y:00 S:F9 P:NvUbdIzc       $C0F0: 68        PLA
A:CA X:00 Y:00 S:FA P:NvUbdIzc      $C0F1: 85 3B     STA $3B = #$FA
A:CA X:00 Y:00 S:FA P:NvUbdIzc      $C0F3: C8        INY
A:CA X:00 Y:01 S:FA P:nvUbdIzc      $C0F4: 8A        TXA
A:00 X:00 Y:01 S:FA P:nvUbdIZc      $C0F5: 48        PHA
A:00 X:00 Y:01 S:F9 P:nvUbdIZc       $C0F6: B1 3A     LDA ($3A),Y @ $CA8A = #$DE
A:DE X:00 Y:01 S:F9 P:NvUbdIzc       $C0F8: AA        TAX
A:DE X:DE Y:01 S:F9 P:NvUbdIzc       $C0F9: C8        INY
A:DE X:DE Y:02 S:F9 P:nvUbdIzc       $C0FA: B1 3A     LDA ($3A),Y @ $CA8B = #$CF
A:CF X:DE Y:02 S:F9 P:NvUbdIzc       $C0FC: 85 3B     STA $3B = #$CA
A:CF X:DE Y:02 S:F9 P:NvUbdIzc       $C0FE: 86 3A     STX $3A = #$89
A:CF X:DE Y:02 S:F9 P:NvUbdIzc       $C100: 68        PLA
A:00 X:DE Y:02 S:FA P:nvUbdIZc      $C101: AA        TAX
A:00 X:00 Y:02 S:FA P:nvUbdIZc      $C102: 6C 3A 00  JMP ($003A) = $CFDE
A:00 X:00 Y:02 S:FA P:nvUbdIZc      $CFDE: A5 22     LDA $22 = #$24
A:24 X:00 Y:02 S:FA P:nvUbdIzc      $CFE0: 29 03     AND #$03
A:00 X:00 Y:02 S:FA P:nvUbdIZc      $CFE2: D0 0B     BNE $CFEF
A:00 X:00 Y:02 S:FA P:nvUbdIZc      $CFE4: DE 8F 06  DEC $068F,X @ $068F = #$9B
A:00 X:00 Y:02 S:FA P:NvUbdIzc      $CFE7: D0 06     BNE $CFEF
A:00 X:00 Y:02 S:FA P:NvUbdIzc      $CFEF: BD 8D 06  LDA $068D,X @ $068D = #$84
A:84 X:00 Y:02 S:FA P:NvUbdIzc      $CFF2: 85 0E     STA $0E = #$84
A:84 X:00 Y:02 S:FA P:NvUbdIzc      $CFF4: A9 0A     LDA #$0A
A:0A X:00 Y:02 S:FA P:nvUbdIzc      $CFF6: 48        PHA
A:0A X:00 Y:02 S:F9 P:nvUbdIzc       $CFF7: BD 83 06  LDA $0683,X @ $0683 = #$00
A:00 X:00 Y:02 S:F9 P:nvUbdIZc       $CFFA: 20 23 D0  JSR $D023
A:00 X:00 Y:02 S:F7 P:nvUbdIZc         $D023: C9 FF     CMP #$FF
A:00 X:00 Y:02 S:F7 P:nvUbdIzc         $D025: F0 24     BEQ $D04B
A:00 X:00 Y:02 S:F7 P:nvUbdIzc         $D027: A8        TAY
A:00 X:00 Y:00 S:F7 P:nvUbdIZc         $D028: B9 00 05  LDA $0500,Y @ $0500 = #$FF
A:FF X:00 Y:00 S:F7 P:NvUbdIzc         $D02B: C9 01     CMP #$01
A:FF X:00 Y:00 S:F7 P:NvUbdIzC         $D02D: D0 1C     BNE $D04B
A:FF X:00 Y:00 S:F7 P:NvUbdIzC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:00 Y:00 S:F9 P:NvUbdIzC       $CFFD: E8        INX
A:FF X:01 Y:00 S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:0A X:01 Y:00 S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:0A X:01 Y:00 S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:09 X:01 Y:00 S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:09 X:01 Y:00 S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:09 X:01 Y:00 S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $0684 = #$12
A:12 X:01 Y:00 S:F9 P:nvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:12 X:01 Y:00 S:F7 P:nvUbdIzC         $D023: C9 FF     CMP #$FF
A:12 X:01 Y:00 S:F7 P:nvUbdIzc         $D025: F0 24     BEQ $D04B
A:12 X:01 Y:00 S:F7 P:nvUbdIzc         $D027: A8        TAY
A:12 X:01 Y:12 S:F7 P:nvUbdIzc         $D028: B9 00 05  LDA $0500,Y @ $0512 = #$FF
A:FF X:01 Y:12 S:F7 P:NvUbdIzc         $D02B: C9 01     CMP #$01
A:FF X:01 Y:12 S:F7 P:NvUbdIzC         $D02D: D0 1C     BNE $D04B
A:FF X:01 Y:12 S:F7 P:NvUbdIzC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:01 Y:12 S:F9 P:NvUbdIzC       $CFFD: E8        INX
A:FF X:02 Y:12 S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:09 X:02 Y:12 S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:09 X:02 Y:12 S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:08 X:02 Y:12 S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:08 X:02 Y:12 S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:08 X:02 Y:12 S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $0685 = #$FF
A:FF X:02 Y:12 S:F9 P:NvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:FF X:02 Y:12 S:F7 P:NvUbdIzC         $D023: C9 FF     CMP #$FF
A:FF X:02 Y:12 S:F7 P:nvUbdIZC         $D025: F0 24     BEQ $D04B
A:FF X:02 Y:12 S:F7 P:nvUbdIZC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:02 Y:12 S:F9 P:nvUbdIZC       $CFFD: E8        INX
A:FF X:03 Y:12 S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:08 X:03 Y:12 S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:08 X:03 Y:12 S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:07 X:03 Y:12 S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:07 X:03 Y:12 S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:07 X:03 Y:12 S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $0686 = #$6C
A:6C X:03 Y:12 S:F9 P:nvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:6C X:03 Y:12 S:F7 P:nvUbdIzC         $D023: C9 FF     CMP #$FF
A:6C X:03 Y:12 S:F7 P:nvUbdIzc         $D025: F0 24     BEQ $D04B
A:6C X:03 Y:12 S:F7 P:nvUbdIzc         $D027: A8        TAY
A:6C X:03 Y:6C S:F7 P:nvUbdIzc         $D028: B9 00 05  LDA $0500,Y @ $056C = #$FF
A:FF X:03 Y:6C S:F7 P:NvUbdIzc         $D02B: C9 01     CMP #$01
A:FF X:03 Y:6C S:F7 P:NvUbdIzC         $D02D: D0 1C     BNE $D04B
A:FF X:03 Y:6C S:F7 P:NvUbdIzC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:03 Y:6C S:F9 P:NvUbdIzC       $CFFD: E8        INX
A:FF X:04 Y:6C S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:07 X:04 Y:6C S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:07 X:04 Y:6C S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:06 X:04 Y:6C S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:06 X:04 Y:6C S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:06 X:04 Y:6C S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $0687 = #$7E
A:7E X:04 Y:6C S:F9 P:nvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:7E X:04 Y:6C S:F7 P:nvUbdIzC         $D023: C9 FF     CMP #$FF
A:7E X:04 Y:6C S:F7 P:nvUbdIzc         $D025: F0 24     BEQ $D04B
A:7E X:04 Y:6C S:F7 P:nvUbdIzc         $D027: A8        TAY
